searched_name,status,openalex_id,display_name,works_api_url,h_index,works_count,country_code
Aakriti Kumar,200,https://openalex.org/A5002490736,A. K. Tyagi,https://api.openalex.org/works?filter=author.id:A5002490736,68.0,741.0,
Aaron Clauset,200,https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,47.0,267.0,
Aaron D Nichols,200,https://openalex.org/A5089395967,Aaron Nichols,https://api.openalex.org/works?filter=author.id:A5089395967,3.0,10.0,
Aaron Reeves,200,https://openalex.org/A5039995516,Aaron Reeves,https://api.openalex.org/works?filter=author.id:A5039995516,48.0,254.0,
Aaron Schein,200,https://openalex.org/A5021334672,Joshua Maynez,https://api.openalex.org/works?filter=author.id:A5021334672,12.0,52.0,
Abdulaziz Alhumaidy,200,,,,,,
Abdullah Almaatouq,200,https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,17.0,101.0,
Abhisek Dash,200,https://openalex.org/A5046983868,Abhisek Dash,https://api.openalex.org/works?filter=author.id:A5046983868,5.0,39.0,
Abraham Israeli,200,https://openalex.org/A5068763840,A Israeli,https://api.openalex.org/works?filter=author.id:A5068763840,20.0,109.0,
Achim Edelmann,200,https://openalex.org/A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,11.0,87.0,
Achyutarama R Ganti,200,,,,,,
Adam Stefkovics,200,https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,7.0,46.0,
Adam (Zhengzi) Zhou,200,,,,,,
Adel Daoud,200,https://openalex.org/A5090745602,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5090745602,22.0,143.0,
Adeline Clarke,200,https://openalex.org/A5099120990,Adeline Clarke,https://api.openalex.org/works?filter=author.id:A5099120990,0.0,3.0,
Adiba Mahbub Proma,200,https://openalex.org/A5011112366,Adiba Mahbub Proma,https://api.openalex.org/works?filter=author.id:A5011112366,2.0,12.0,
Adolfo Fuentes-Jofre,200,,,,,,
Adrien Letellier,200,https://openalex.org/A5082562050,Adrien Letellier,https://api.openalex.org/works?filter=author.id:A5082562050,4.0,5.0,
Adriënne Mendrik,200,https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,14.0,43.0,
Ágnes Horvát,200,https://openalex.org/A5004566032,Emőke-Ágnes Horvát,https://api.openalex.org/works?filter=author.id:A5004566032,15.0,72.0,
Agnieszka Czaplicka,200,https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6.0,23.0,
Agnieszka Falenska,200,https://openalex.org/A5039380414,David Vilares,https://api.openalex.org/works?filter=author.id:A5039380414,19.0,111.0,
Agostino Merico,200,https://openalex.org/A5067493080,Agostino Merico,https://api.openalex.org/works?filter=author.id:A5067493080,34.0,94.0,
Agustin Orozco,200,https://openalex.org/A5006771869,José Agustín Orozco-Castillo,https://api.openalex.org/works?filter=author.id:A5006771869,2.0,2.0,
Ahmet Furkan Ün,200,https://openalex.org/A5115780938,Ahmet Furkan Un,https://api.openalex.org/works?filter=author.id:A5115780938,0.0,2.0,
Aimee Smith,200,https://openalex.org/A5101494984,Aimee W. Smith,https://api.openalex.org/works?filter=author.id:A5101494984,15.0,52.0,
Akhil Arora,200,https://openalex.org/A5002429891,Anmol Arora,https://api.openalex.org/works?filter=author.id:A5002429891,24.0,203.0,
Akihiro Kameda,200,https://openalex.org/A5005645734,Akihiro Kameda,https://api.openalex.org/works?filter=author.id:A5005645734,7.0,23.0,
